団体コード,都道府県名,市区町村名,0～4歳,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85～89,90～94,95～99,100歳以上
011002,北海道,札幌市,68040,74609,76537,81475,96933,102491,112460,125195,142793,157881,137657,127978,122407,140933,133959,100296,73164,51679,24912,6899,1015
011011,北海道,札幌市中央区,7918,8182,8081,8687,13009,15607,15904,16912,18447,20721,18518,16372,14068,14592,13664,9967,7756,5939,2934,804,116
011029,北海道,札幌市北区,10249,11656,12150,12974,16312,14378,15780,17806,20785,22893,19386,17908,17171,20593,19325,14507,10525,7192,3502,934,160
011037,北海道,札幌市東区,9964,10269,10362,10993,13200,14583,16061,17556,19699,21942,18040,16065,15421,18031,17229,13010,9209,6298,3030,827,133
011045,北海道,札幌市白石区,7768,7648,7488,8038,10684,13476,14084,14650,16521,18071,15758,13881,12486,13791,12976,10080,7366,5280,2419,655,91
011053,北海道,札幌市豊平区,7884,7989,7870,8446,12031,14420,15069,15433,16817,18244,15961,14362,12830,14331,13725,10632,8081,5881,2723,733,100
011061,北海道,札幌市南区,3878,4724,5043,5763,6000,5147,5811,7000,8272,9198,8968,9461,9794,11858,11833,9005,6882,4835,2311,662,113
011070,北海道,札幌市西区,8060,8479,8469,8759,9203,10822,12529,14213,16094,17553,15342,13957,13487,15570,14924,11382,8400,5979,2824,822,125
011088,北海道,札幌市厚別区,3638,4441,4973,5645,5757,5059,5870,6733,8197,9739,9186,8928,9162,10587,10287,7772,5510,3551,1681,476,50
011096,北海道,札幌市手稲区,4942,6116,6394,6397,6017,5308,6693,8552,10059,10603,8690,9053,9777,12092,11412,7991,5383,3820,2012,579,76
011100,北海道,札幌市清田区,3739,5105,5707,5773,4720,3691,4659,6340,7902,8917,7808,7991,8211,9488,8584,5950,4052,2904,1476,407,51
012025,北海道,函館市,7161,8335,9126,10362,9945,9825,11060,13352,16208,18946,16977,16526,17662,21991,21810,17347,13585,9303,4450,1180,157
012033,北海道,小樽市,2563,3307,3778,4566,4342,3661,4013,4838,6608,7995,7436,7302,7731,10503,11326,9138,6995,5023,2488,728,84
012041,北海道,旭川市,10737,12184,13114,14078,13094,13658,15487,18347,22315,24254,21605,21021,22159,27324,27608,21854,16619,11489,5292,1609,221
012050,北海道,室蘭市,2440,2702,2922,3603,3947,3449,3518,4081,4783,5892,5085,4669,4870,6968,7388,6646,4956,3175,1419,408,56
012068,北海道,釧路市,4911,5838,6565,7402,7306,6800,7514,8901,11039,12145,10897,11015,11468,14672,13610,10853,8505,5432,2471,649,93
012076,北海道,帯広市,6044,6658,6671,7075,7955,8524,8785,9849,11185,12383,10991,10982,10736,12391,11550,9204,7191,4942,2210,634,83
012084,北海道,北見市,3730,4282,4531,5006,4701,4634,5217,6383,7921,8546,7502,7818,7756,9620,9277,7261,5783,4127,1908,539,88
012092,北海道,夕張市,118,143,173,180,188,196,218,269,343,439,427,507,572,807,807,763,783,504,250,69,13
012106,北海道,岩見沢市,2215,2858,3086,3445,3223,2980,3315,3813,4848,5661,4982,5499,5862,6917,6813,5387,4393,3170,1455,425,63
012114,北海道,網走市,1122,1334,1398,1553,1799,1527,1553,1947,2300,2513,2158,2310,2387,2823,2761,2074,1631,1084,577,166,22
012122,北海道,留萌市,611,660,733,742,798,768,868,1082,1247,1438,1352,1377,1371,1817,1834,1567,1205,763,335,131,16
012131,北海道,苫小牧市,6344,7308,7597,7804,7115,8044,9136,10526,12415,13308,10977,10355,10948,13825,12460,9228,6737,4342,2129,566,78
